[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.500000,0.000000,0.000000,0.200774,0.143161,-0.218935,0.105645,0.130806,-0.015903,-0.060387,0.246452,-0.176032,0.225032,0.033355,0.089290,0.055258,0.114161]
[0.500000,0.000000,0.000000,0.209806,0.146710,-0.213516,0.087839,0.093548,-0.020774,-0.077903,0.244387,-0.173742,0.224742,0.033161,0.108677,0.045935,0.127710]
[0.500000,0.000000,0.000000,0.218839,0.150258,-0.208097,0.070032,0.056290,-0.025645,-0.095419,0.242323,-0.171452,0.224452,0.032968,0.128065,0.036613,0.141258]
[0.500000,0.000000,0.000000,0.227871,0.153806,-0.202677,0.052226,0.019032,-0.030516,-0.112935,0.240258,-0.169161,0.224161,0.032774,0.147452,0.027290,0.154806]
[0.500000,0.000000,0.000000,0.236903,0.157355,-0.197258,0.034419,-0.018226,-0.035387,-0.130452,0.238194,-0.166871,0.223871,0.032581,0.166839,0.017968,0.168355]
[0.500000,0.000000,0.000000,0.245935,0.160903,-0.191839,0.016613,-0.055484,-0.040258,-0.147968,0.236129,-0.164581,0.223581,0.032387,0.186226,0.008645,0.181903]
[0.500000,0.000000,0.000000,0.254968,0.164452,-0.186419,-0.001194,-0.092742,-0.045129,-0.165484,0.234065,-0.162290,0.223290,0.032194,0.205613,-0.000677,0.195452]
[0.500000,0.000000,0.000000,0.264000,0.168000,-0.181000,-0.019000,-0.130000,-0.050000,-0.183000,0.232000,-0.160000,0.223000,0.032000,0.225000,-0.010000,0.209000]
[0.483333,0.000000,0.000000,0.264027,0.168000,-0.180634,-0.019529,-0.129834,-0.048812,-0.182848,0.232018,-0.160018,0.223359,0.032753,0.224825,-0.011477,0.209438]
[0.466667,0.000000,0.000000,0.264000,0.168000,-0.181000,-0.020000,-0.130000,-0.048000,-0.183000,0.232000,-0.160000,0.223000,0.034000,0.225000,-0.013000,0.210000]
[0.450000,0.000000,0.000000,0.263973,0.168000,-0.181616,-0.020471,-0.130416,-0.047188,-0.183152,0.231982,-0.159982,0.222391,0.035497,0.225175,-0.014523,0.210562]
[0.433333,0.000000,0.000000,0.264000,0.168000,-0.182000,-0.021000,-0.131000,-0.046000,-0.183000,0.232000,-0.160000,0.222000,0.037000,0.225000,-0.016000,0.211000]
[0.416667,0.000000,0.000000,0.264080,0.168000,-0.181903,-0.021588,-0.131628,-0.044312,-0.182419,0.232053,-0.160054,0.222078,0.038384,0.224224,-0.017431,0.211315]
[0.400000,0.000000,0.000000,0.264000,0.168000,-0.182000,-0.022000,-0.132000,-0.043000,-0.182000,0.232000,-0.160000,0.222000,0.040000,0.223000,-0.019000,0.212000]
[0.383333,0.000000,0.000000,0.263580,0.168000,-0.182899,-0.022051,-0.131948,-0.042814,-0.182296,0.231680,-0.159678,0.221173,0.042216,0.221554,-0.020878,0.213430]
[0.366667,0.000000,0.000000,0.263000,0.168000,-0.184000,-0.022000,-0.132000,-0.043000,-0.183000,0.231000,-0.159000,0.220000,0.045000,0.220000,-0.023000,0.215000]
[0.350000,0.000000,0.000000,0.262474,0.167999,-0.184627,-0.022083,-0.132578,-0.042682,-0.183646,0.229978,-0.157986,0.218981,0.048125,0.218435,-0.025182,0.216091]
[0.333333,0.000000,0.000000,0.262000,0.168000,-0.185000,-0.022000,-0.133000,-0.042000,-0.184000,0.229000,-0.157000,0.218000,0.051000,0.217000,-0.027000,0.217000]
[0.316667,0.000000,0.000000,0.261525,0.168002,-0.185467,-0.021491,-0.132613,-0.041335,-0.183993,0.228407,-0.156380,0.216902,0.053159,0.215831,-0.028144,0.218079]
[0.300000,0.000000,0.000000,0.261000,0.168000,-0.186000,-0.021000,-0.132000,-0.041000,-0.184000,0.228000,-0.156000,0.216000,0.055000,0.215000,-0.029000,0.219000]
[0.283333,0.000000,0.000000,0.260426,0.167993,-0.186504,-0.020951,-0.131845,-0.041105,-0.184381,0.227520,-0.155620,0.215534,0.056991,0.214493,-0.029990,0.219466]
[0.266667,0.000000,0.000000,0.260000,0.168000,-0.187000,-0.021000,-0.132000,-0.041000,-0.185000,0.227000,-0.155000,0.215000,0.059000,0.214000,-0.031000,0.220000]
[0.250000,0.000000,0.000000,0.259894,0.168027,-0.187517,-0.020703,-0.132133,-0.040245,-0.185607,0.226514,-0.154015,0.213962,0.060753,0.213324,-0.031769,0.221058]
[0.233333,0.000000,0.000000,0.260000,0.168000,-0.188000,-0.020000,-0.132000,-0.040000,-0.186000,0.226000,-0.153000,0.213000,0.062000,0.213000,-0.032000,0.222000]
[0.216667,0.000000,0.000000,0.260122,0.167897,-0.188427,-0.018986,-0.131496,-0.041289,-0.186066,0.225423,-0.152322,0.212742,0.062620,0.213460,-0.031559,0.222177]
[0.200000,0.000000,0.000000,0.260000,0.168000,-0.189000,-0.018000,-0.131000,-0.043000,-0.186000,0.225000,-0.152000,0.213000,0.063000,0.214000,-0.031000,0.222000]
[0.183333,0.000000,0.000000,0.259494,0.168508,-0.189900,-0.017354,-0.130881,-0.043849,-0.186004,0.224920,-0.151949,0.213443,0.063515,0.213959,-0.030871,0.221983]
