[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.500000,0.000000,0.000000,0.258037,0.165750,-0.202729,-0.002789,-0.122691,-0.047526,-0.197123,0.228027,-0.159181,0.225052,0.061598,0.241217,-0.021650,0.219170]
[0.500000,0.000000,0.000000,0.257955,0.166230,-0.203202,-0.003181,-0.123300,-0.046581,-0.196924,0.227986,-0.158855,0.224986,0.062311,0.240859,-0.022339,0.218850]
[0.500000,0.000000,0.000000,0.257798,0.166851,-0.203640,-0.003633,-0.124141,-0.045624,-0.196783,0.227977,-0.158539,0.225012,0.063006,0.240618,-0.023270,0.218501]
[0.500000,0.000000,0.000000,0.257558,0.167600,-0.204096,-0.004134,-0.125161,-0.044642,-0.196606,0.227985,-0.158265,0.225061,0.063723,0.240418,-0.024334,0.218199]
[0.500000,0.000000,0.000000,0.257231,0.168459,-0.204632,-0.004674,-0.126305,-0.043617,-0.196287,0.227997,-0.158067,0.225056,0.064504,0.240183,-0.025414,0.218018]
[0.500000,0.000000,0.000000,0.256811,0.169415,-0.205304,-0.005243,-0.127518,-0.042535,-0.195730,0.227998,-0.157976,0.224926,0.065389,0.239835,-0.026397,0.218035]
[0.500000,0.000000,0.000000,0.256315,0.170434,-0.206097,-0.005815,-0.128760,-0.041423,-0.194948,0.227987,-0.157983,0.224667,0.066375,0.239362,-0.027235,0.218245]
[0.500000,0.000000,0.000000,0.255789,0.171464,-0.206914,-0.006347,-0.130015,-0.040365,-0.194097,0.227977,-0.158024,0.224363,0.067407,0.238825,-0.027964,0.218554]
[0.500000,0.000000,0.000000,0.255278,0.172453,-0.207646,-0.006793,-0.131264,-0.039447,-0.193340,0.227983,-0.158035,0.224101,0.068424,0.238290,-0.028623,0.218860]
[0.500000,0.000000,0.000000,0.254829,0.173347,-0.208192,-0.007110,-0.132492,-0.038751,-0.192837,0.228019,-0.157951,0.223965,0.069370,0.237824,-0.029253,0.219065]
[0.500000,0.000000,0.000000,0.254470,0.174134,-0.208528,-0.007273,-0.133661,-0.038306,-0.192644,0.228073,-0.157755,0.223969,0.070213,0.237462,-0.029856,0.219131]
[0.500000,0.000000,0.000000,0.254208,0.174857,-0.208732,-0.007286,-0.134711,-0.038069,-0.192680,0.228106,-0.157484,0.224026,0.070962,0.237204,-0.030392,0.219105]
[0.500000,0.000000,0.000000,0.254047,0.175559,-0.208889,-0.007153,-0.135581,-0.037990,-0.192859,0.228072,-0.157182,0.224046,0.071628,0.237047,-0.030815,0.219039]
[0.500000,0.000000,0.000000,0.253991,0.176284,-0.209084,-0.006878,-0.136210,-0.038023,-0.193090,0.227930,-0.156892,0.223939,0.072220,0.236989,-0.031082,0.218982]
[0.500000,0.000000,0.000000,0.254017,0.177045,-0.209346,-0.006475,-0.136594,-0.038145,-0.193326,0.227681,-0.156633,0.223690,0.072751,0.237004,-0.031185,0.218961]
[0.500000,0.000000,0.000000,0.254061,0.177813,-0.209628,-0.005971,-0.136808,-0.038370,-0.193570,0.227390,-0.156392,0.223384,0.073241,0.237039,-0.031168,0.218966]
[0.500000,0.000000,0.000000,0.254057,0.178556,-0.209880,-0.005393,-0.136932,-0.038713,-0.193827,0.227124,-0.156155,0.223112,0.073708,0.237041,-0.031076,0.218985]
[0.500000,0.000000,0.000000,0.253941,0.179242,-0.210050,-0.004768,-0.137045,-0.039190,-0.194104,0.226951,-0.155908,0.222966,0.074169,0.236955,-0.030955,0.219008]
[0.500000,0.000000,0.000000,0.253703,0.179848,-0.210119,-0.004141,-0.137203,-0.039768,-0.194393,0.226895,-0.155648,0.222964,0.074640,0.236763,-0.030852,0.219024]
[0.500000,0.000000,0.000000,0.253410,0.180365,-0.210111,-0.003583,-0.137429,-0.040343,-0.194666,0.226915,-0.155389,0.223021,0.075129,0.236498,-0.030810,0.219029]
[0.500000,0.000000,0.000000,0.253135,0.180784,-0.210053,-0.003164,-0.137740,-0.040808,-0.194892,0.226968,-0.155145,0.223046,0.075644,0.236198,-0.030877,0.219018]
[0.500000,0.000000,0.000000,0.252950,0.181096,-0.209971,-0.002955,-0.138157,-0.041055,-0.195041,0.227011,-0.154929,0.222947,0.076195,0.235899,-0.031095,0.218986]
[0.500000,0.000000,0.000000,0.252884,0.181322,-0.209896,-0.002951,-0.138666,-0.041073,-0.195104,0.227023,-0.154735,0.222703,0.076765,0.235623,-0.031441,0.218943]
[0.500000,0.000000,0.000000,0.252901,0.181526,-0.209863,-0.003031,-0.139205,-0.040989,-0.195099,0.227016,-0.154522,0.222398,0.077305,0.235371,-0.031787,0.218917]
[0.500000,0.000000,0.000000,0.252959,0.181774,-0.209908,-0.003066,-0.139711,-0.040941,-0.195048,0.227003,-0.154244,0.222123,0.077764,0.235142,-0.032000,0.218941]
[0.500000,0.000000,0.000000,0.253017,0.182133,-0.210066,-0.002929,-0.140119,-0.041069,-0.194975,0.227001,-0.153861,0.221968,0.078089,0.234934,-0.031946,0.219045]
[0.500000,0.000000,0.000000,0.253049,0.182616,-0.210330,-0.002566,-0.140408,-0.041428,-0.194905,0.227013,-0.153368,0.221957,0.078288,0.234735,-0.031621,0.219238]
[0.500000,0.000000,0.000000,0.253054,0.183158,-0.210629,-0.002042,-0.140629,-0.041954,-0.194872,0.227024,-0.152829,0.222011,0.078462,0.234513,-0.031224,0.219496]
[0.500000,0.000000,0.000000,0.253031,0.183684,-0.210886,-0.001433,-0.140836,-0.042566,-0.194912,0.227020,-0.152311,0.222041,0.078718,0.234238,-0.030974,0.219790]
[0.500000,0.000000,0.000000,0.252982,0.184121,-0.211026,-0.000812,-0.141084,-0.043188,-0.195058,0.226985,-0.151881,0.221958,0.079163,0.233878,-0.031085,0.220092]
[0.500000,0.000000,0.000000,0.252921,0.184437,-0.211030,-0.000234,-0.141386,-0.043764,-0.195309,0.226928,-0.151567,0.221734,0.079831,0.233426,-0.031632,0.220381]
[0.500000,0.000000,0.000000,0.252886,0.184670,-0.210977,0.000286,-0.141684,-0.044282,-0.195602,0.226889,-0.151334,0.221439,0.080629,0.232913,-0.032458,0.220643]
[0.500000,0.000000,0.000000,0.252916,0.184863,-0.210952,0.000733,-0.141914,-0.044730,-0.195866,0.226916,-0.151139,0.221154,0.081454,0.232377,-0.033382,0.220868]
[0.500000,0.000000,0.000000,0.253052,0.185059,-0.211043,0.001095,-0.142011,-0.045097,-0.196035,0.227054,-0.150940,0.220957,0.082202,0.231852,-0.034225,0.221045]
