[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.000000,0.000000,0.000000,0.259575,0.193677,-0.217775,0.016079,-0.142958,-0.069119,-0.196305,0.234675,-0.134267,0.218591,0.094119,0.215196,-0.044852,0.224408]
[0.000000,0.000000,0.000000,0.260301,0.194242,-0.218055,0.015840,-0.142998,-0.068972,-0.195913,0.235095,-0.133928,0.219295,0.093805,0.214756,-0.045207,0.223706]
[0.000000,0.000000,0.000000,0.260882,0.194829,-0.218004,0.015212,-0.142975,-0.069009,-0.195980,0.235024,-0.133987,0.219879,0.093171,0.214123,-0.045834,0.223122]
[0.000000,0.000000,0.000000,0.261163,0.195422,-0.218138,0.014492,-0.143199,-0.068834,-0.195895,0.235097,-0.133879,0.220169,0.092726,0.213974,-0.046262,0.222830]
[0.000000,0.000000,0.000000,0.261000,0.196000,-0.219000,0.014000,-0.144000,-0.068000,-0.195000,0.236000,-0.133000,0.220000,0.093000,0.215000,-0.046000,0.223000]
[0.000000,0.000000,0.000000,0.249645,0.198194,-0.223194,0.017935,-0.101000,-0.072839,-0.173419,0.219677,-0.179129,0.206839,0.070419,0.246516,-0.045645,0.206419]
[-0.010000,0.000000,0.000000,0.238290,0.200387,-0.227387,0.021871,-0.058000,-0.077677,-0.151839,0.203355,-0.225258,0.193677,0.047839,0.278032,-0.045290,0.189839]
[-0.020000,0.000000,0.000000,0.226935,0.202581,-0.231581,0.025806,-0.015000,-0.082516,-0.130258,0.187032,-0.271387,0.180516,0.025258,0.309548,-0.044935,0.173258]
[-0.030000,0.000000,0.000000,0.215581,0.204774,-0.235774,0.029742,0.028000,-0.087355,-0.108677,0.170710,-0.317516,0.167355,0.002677,0.341065,-0.044581,0.156677]
[-0.040000,0.000000,0.000000,0.204226,0.206968,-0.239968,0.033677,0.071000,-0.092194,-0.087097,0.154387,-0.363645,0.154194,-0.019903,0.372581,-0.044226,0.140097]
[-0.050000,0.000000,0.000000,0.192871,0.209161,-0.244161,0.037613,0.114000,-0.097032,-0.065516,0.138065,-0.409774,0.141032,-0.042484,0.404097,-0.043871,0.123516]
[-0.060000,0.000000,0.000000,0.181516,0.211355,-0.248355,0.041548,0.157000,-0.101871,-0.043935,0.121742,-0.455903,0.127871,-0.065065,0.435613,-0.043516,0.106935]
[-0.070000,0.000000,0.000000,0.170161,0.213548,-0.252548,0.045484,0.200000,-0.106710,-0.022355,0.105419,-0.502032,0.114710,-0.087645,0.467129,-0.043161,0.090355]
[-0.080000,0.000000,0.000000,0.158806,0.215742,-0.256742,0.049419,0.243000,-0.111548,-0.000774,0.089097,-0.548161,0.101548,-0.110226,0.498645,-0.042806,0.073774]
