[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.116667,0.000000,0.000000,0.260587,0.194501,-0.218044,0.015593,-0.142979,-0.068986,-0.195919,0.235090,-0.133937,0.219580,0.093534,0.214459,-0.045479,0.223421]
[0.100000,0.000000,0.000000,0.260821,0.194752,-0.218012,0.015305,-0.142972,-0.069007,-0.195966,0.235040,-0.133976,0.219816,0.093254,0.214193,-0.045754,0.223184]
[0.083333,0.000000,0.000000,0.261003,0.195005,-0.218000,0.014994,-0.143001,-0.068999,-0.196000,0.235000,-0.134000,0.220003,0.092995,0.213997,-0.046004,0.222997]
[0.066667,0.000000,0.000000,0.261123,0.195258,-0.218051,0.014683,-0.143093,-0.068929,-0.195972,0.235022,-0.133961,0.220128,0.092800,0.213927,-0.046192,0.222872]
[0.050000,0.000000,0.000000,0.261170,0.195509,-0.218207,0.014397,-0.143273,-0.068762,-0.195830,0.235161,-0.133812,0.220177,0.092708,0.214035,-0.046279,0.222822]
[0.033333,0.000000,0.000000,0.261133,0.195757,-0.218509,0.014161,-0.143567,-0.068464,-0.195523,0.235470,-0.133508,0.220139,0.092761,0.214375,-0.046228,0.222860]
[0.016667,0.000000,0.000000,0.261000,0.196000,-0.219000,0.014000,-0.144000,-0.068000,-0.195000,0.236000,-0.133000,0.220000,0.093000,0.215000,-0.046000,0.223000]
[0.000000,0.000000,0.000000,0.263226,0.199129,-0.223194,0.025387,-0.103710,-0.063194,-0.173323,0.241968,-0.166452,0.171548,0.063774,0.225226,-0.049484,0.194968]
[0.000000,0.000000,0.000000,0.265452,0.202258,-0.227387,0.036774,-0.063419,-0.058387,-0.151645,0.247935,-0.199903,0.123097,0.034548,0.235452,-0.052968,0.166935]
[0.000000,0.000000,0.000000,0.267677,0.205387,-0.231581,0.048161,-0.023129,-0.053581,-0.129968,0.253903,-0.233355,0.074645,0.005323,0.245677,-0.056452,0.138903]
