[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.000000,0.000000,0.000000,0.136097,0.220129,-0.265129,0.057290,0.329000,-0.121226,0.042387,0.056452,-0.640419,0.075226,-0.155387,0.561677,-0.042097,0.040613]
[0.000000,0.000000,0.000000,0.124742,0.222323,-0.269323,0.061226,0.372000,-0.126065,0.063968,0.040129,-0.686548,0.062065,-0.177968,0.593194,-0.041742,0.024032]
[0.000000,0.000000,0.000000,0.113387,0.224516,-0.273516,0.065161,0.415000,-0.130903,0.085548,0.023806,-0.732677,0.048903,-0.200548,0.624710,-0.041387,0.007452]
[0.000000,0.000000,0.000000,0.102032,0.226710,-0.277710,0.069097,0.458000,-0.135742,0.107129,0.007484,-0.778806,0.035742,-0.223129,0.656226,-0.041032,-0.009129]
[0.000000,0.000000,0.000000,0.090677,0.228903,-0.281903,0.073032,0.501000,-0.140581,0.128710,-0.008839,-0.824935,0.022581,-0.245710,0.687742,-0.040677,-0.025710]
[0.000000,0.000000,0.000000,0.079323,0.231097,-0.286097,0.076968,0.544000,-0.145419,0.150290,-0.025161,-0.871065,0.009419,-0.268290,0.719258,-0.040323,-0.042290]
[0.000000,0.000000,0.000000,0.067968,0.233290,-0.290290,0.080903,0.587000,-0.150258,0.171871,-0.041484,-0.917194,-0.003742,-0.290871,0.750774,-0.039968,-0.058871]
[0.000000,0.000000,0.000000,0.056613,0.235484,-0.294484,0.084839,0.630000,-0.155097,0.193452,-0.057806,-0.963323,-0.016903,-0.313452,0.782290,-0.039613,-0.075452]
[0.000000,0.000000,0.000000,0.045258,0.237677,-0.298677,0.088774,0.673000,-0.159935,0.215032,-0.074129,-1.009452,-0.030065,-0.336032,0.813806,-0.039258,-0.092032]
[0.000000,0.000000,0.000000,0.033903,0.239871,-0.302871,0.092710,0.716000,-0.164774,0.236613,-0.090452,-1.055581,-0.043226,-0.358613,0.845323,-0.038903,-0.108613]
[0.000000,0.000000,0.000000,0.022548,0.242065,-0.307065,0.096645,0.759000,-0.169613,0.258194,-0.106774,-1.101710,-0.056387,-0.381194,0.876839,-0.038548,-0.125194]
[0.000000,0.000000,0.000000,0.011194,0.244258,-0.311258,0.100581,0.802000,-0.174452,0.279774,-0.123097,-1.147839,-0.069548,-0.403774,0.908355,-0.038194,-0.141774]
[0.000000,0.000000,0.000000,-0.000161,0.246452,-0.315452,0.104516,0.845000,-0.179290,0.301355,-0.139419,-1.193968,-0.082710,-0.426355,0.939871,-0.037839,-0.158355]
[0.000000,0.000000,0.000000,-0.011516,0.248645,-0.319645,0.108452,0.888000,-0.184129,0.322935,-0.155742,-1.240097,-0.095871,-0.448935,0.971387,-0.037484,-0.174935]
[0.000000,0.000000,0.000000,-0.022871,0.250839,-0.323839,0.112387,0.931000,-0.188968,0.344516,-0.172065,-1.286226,-0.109032,-0.471516,1.002903,-0.037129,-0.191516]
[0.000000,0.000000,0.000000,-0.034226,0.253032,-0.328032,0.116323,0.974000,-0.193806,0.366097,-0.188387,-1.332355,-0.122194,-0.494097,1.034419,-0.036774,-0.208097]
[0.000000,0.000000,0.000000,-0.045581,0.255226,-0.332226,0.120258,1.017000,-0.198645,0.387677,-0.204710,-1.378484,-0.135355,-0.516677,1.065935,-0.036419,-0.224677]
[0.000000,0.000000,0.000000,-0.056935,0.257419,-0.336419,0.124194,1.060000,-0.203484,0.409258,-0.221032,-1.424613,-0.148516,-0.539258,1.097452,-0.036065,-0.241258]
[0.000000,0.000000,0.000000,-0.068290,0.259613,-0.340613,0.128129,1.103000,-0.208323,0.430839,-0.237355,-1.470742,-0.161677,-0.561839,1.128968,-0.035710,-0.257839]
